layer,neuron,score,explanation
0,1369,0.413476538," words related to sharing, distribution, or offering."
0,1044,0.470277731, words related to disclaimers and instructions.
0,94,0.707333374,words and phrases related to the act of trading or exchanging.
0,1501,0.369149234, symbols and characters associated with numerical values and increments.
0,364,0.377605981,"occurrences of the word ""fact"" and its variations, along with numeric values directly associated with these facts."
0,1886,0.38284803, specific parts or combinations of non-English characters and unusual letter groupings.
0,163,0.699659319, words and phrases related to recency and the latest events or updates.
0,1753,0.468031433, commitments and pledges related to countries and international affairs.
0,942,0.632432265,"contrasting statements, especially when introduced by the word ""yet."""
0,251,0.365126899,"sports-related terms and events, particularly related to scoring and game dynamics."
0,431,0.715722458,words and phrases related to sharp objects and actions involving them.
0,860,0.601985413," words related to processes that involve utilization or reusing of materials, objects, or elements."
0,286,0.663509473, words related to comparison.
0,662,0.464282706," words related to time, especially years and longer durations."
0,1924,0.557915583, words and phrases related to community activities and events.
0,1484,0.84046252, words and phrases with a connotation of being ridiculous or nonsensical.
0,1322,0.430940895," prepositions, specifically related to positions and conditions."
0,1463,0.783953866, last names of people.
0,746,0.658518461,"combinations of a noun followed by 'manship' and other words indicating a specific skill, role, or attribute."
0,643,0.584392162,"mentions of online platforms and support services, particularly Patreon."
1,741,0.685525291,words related to ranking systems and hierarchy.
1,592,0.882504968,"words related to mechanical parts, specifically gears."
1,666,0.383006317, words beginning with 'ut'.
1,1827,0.733507886,words and phrases related to ethical behavior and standards.
1,1325,0.828915745,words related to sudden or unexpected events.
1,1393,0.6794656,"variations of the name ""Nic""."
1,530,0.450770129,"keywords related to politics and law, particularly regarding gun control."
1,1796,0.938003164," the word ""according"" or its variations."
1,347,0.857853461,"two-letter combinations of 'Jo' or 'Ke', and the word 'break'."
1,1978,0.570954883, words and phrases related to sheets or flat surfaces.
1,176,0.450322528,letters or letter combinations related to the 'f' and 'u' sounds in words.
1,1213,0.536673479,words and phrases related to conspiracy theories.
1,652,0.500699246,"terms related to energy, economics, and industry."
1,1971,0.673059629," ""@"" symbols and website-related content."
1,673,0.760873253,the word 'so' in different contexts.
1,128,0.453524183, parts of words with 'Bit' and occasionally numeric values.
1,130,0.76328735,occurrences of 'ry' in words.
1,539,0.534607154, words with the prefix 'Ap' or words related to editions and versions.
1,570,0.627385313,"words related to human rights, protection, and violations."
1,1995,0.687680471,words related to law enforcement professionals or officers.
2,62,0.357469805,corporate names and related terms.
2,1977,0.677133072,grammar and language-related terms.
2,339,0.743616466, words and phrases related to the color red and words with 'dim'.
2,927,0.388002501,words and phrases containing the prefix 'disp'.
2,1578,0.678755614,instances of the word 'Del' and adjacent punctuation.
2,1428,0.794356857,words related to offensive or inappropriate behavior.
2,243,0.755171285," words related to openings, hatches, or beams."
2,18,0.377383957,words or parts of words related to the concept of completion or being complete.
2,1196,0.656793993,names of universities and their sports teams or rankings.
2,331,0.885849061,words and phrases related to ancestry and cultural heritage.
2,227,0.351815183, words related to being aware or unaware.
2,109,0.712047226, verbs related to actions that carry risk or involve concealment.
2,432,0.429525545,words and phrases related to quantities and measurements.
2,1821,0.469533751,"instances of the syllable ""ins"" in various words."
2,1670,0.742085832,words related to coverage and employment.
2,1265,0.506121219,words related to heroes and heroic concepts.
2,1468,0.607166959, names of people and technical terms related to computer science or technology.
2,707,0.677909983,words related to traps or entrapment.
2,1975,0.626280942,"instances of the name ""Abraham."""
2,324,0.372568522,words related to people with a passionate interest or hobby.
3,1520,0.61638972, phrases related to anonymity and undisclosed sources.
3,1982,0.623404264, co- or collaborative related expressions.
3,476,0.42287497, abbreviations or parts of abbreviations.
3,1130,0.374608572, words or parts of words related to 'rh'.
3,823,0.690349403,"variations of the word ""base"" and related numerical values."
3,1771,0.671653257,"words related to siblings, particularly the term ""brothers""."
3,1832,0.552083759,words containing 'fol' or similar-sounding combinations like 'fell'.
3,1674,0.397032033,terms related to game elements and character types.
3,1750,0.368073751, words related to the oil and fuel industry.
3,1000,0.56163163,"words and phrases related to processes, experiments, and models."
3,284,0.562308917,"adverbs with a similar ending pattern, such as '-fully' or '-told'."
3,142,0.403772318,words related to tattoos or markings.
3,319,0.498665526," words related to creating or following instructions, such as recipes and specific terminology."
3,1679,0.815537656," the word ""such"" and related terms indicating examples or lists."
3,1490,0.471945166,"words related to inventions, patents, and technology."
3,444,0.378125217, words related to actions or behaviors with consequences.
3,324,0.495114633,words related to military units and transportation.
3,1960,0.373117658,"names, positions, and roles often associated with sports or teams."
3,1815,0.700027303,sequences of repeated punctuation or characters.
3,1459,0.63175014, technical terms related to communication and transmission.
4,226,0.373519101,"symbols or characters, such as ""@"" or quotation marks."
4,272,0.729748626,religious terms and references.
4,59,0.361066099, technical terms and components related to various instruments and equipment.
4,592,0.648061076, occurrences of the word 'The' and variations in capitalization for the word 'the'.
4,58,0.638024605, words related to advice or suggestions.
4,1780,0.35564327, specific nouns and their related actions.
4,1923,0.801013942,words containing 'ash'.
4,74,0.357807175," proper nouns and parts of proper nouns, mainly associated with news agencies and political events."
4,803,0.399038938,words related to actions of causing harm or injury.
4,630,0.59747562, words related to communication interfaces and connections.
4,1393,0.538379502, street and road names or related terms.
4,1993,0.681666927, words related to weight and gross measures.
4,504,0.431065448, words related to freshness and proper nouns.
4,271,0.363300189, abbreviations and symbols.
4,1137,0.664096131,words and phrases related to applying force or pressure.
4,1266,0.416641248, adjectives and nouns related to physical properties or body parts.
4,352,0.408853269, words related to political and economic events.
4,1826,0.818550438, words and phrases related to the process of designing.
4,1106,0.665839941," words related to protection, defense and security."
4,759,0.461338791, the start-of-text token 
5,1833,0.538917515," words related to health issues, particularly diseases and their consequences."
5,34,0.462147234, website and online community-related terms.
5,615,0.67250584,letters 'ove' and symbols like stars and long dashes.
5,417,0.448066147," words related to attachments, configurations, and adapters."
5,1002,0.7346584, words related to storage and archives.
5,1188,0.455480192,parts of words with the 'aph' letter combination.
5,1347,0.394004829, words and phrases related to headings or titles.
5,250,0.429577651, phrases related to people speaking or being interviewed.
5,393,0.792909628,adverbs related to immediacy or quickness.
