layer,neuron,score,explanation
0,614,-0.021547834,"specific terms or phrases related to groups, actions, and situations."
0,1152,0.561885202,words and phrases related to positive emotions and expressions of happiness.
0,1580,0.802566065," the word ""going"" and related phrases indicating movement or progress."
0,1889,0.184026641," expressions of excitement or surprise, often affiliated with punctuation."
0,1801,0.724583684,"words related to family members, particularly 'son'."
0,385,0.641687918,words related to issues or concerns.
0,413,0.666462541," word endings or suffixes, particularly ""-ies"" and other similar patterns."
0,1184,0.565137703,"technical terms related to configurations, settings, and processes in systems."
0,673,0.041416569,ordinal numbers and related words or contexts.
0,194,0.059959858,words related to taking action or attempting a new goal.
0,1644,0.750967307, words related to various forms of treatments and therapies.
0,1114,0.5814008, parts of words with the letter sequence 'es'.
0,1655,0.197740007,words and phrases related to mechanical or technical concepts.
0,140,0.685842411, words and phrases related to growth and development processes.
0,102,0.746391639,words related to swimming and pool activities.
0,1254,0.37227075,"food items or components, particularly involving legumes or grains."
0,487,0.674917683," numbers, particularly those in the 90-100 range, and radial-related terms."
0,963,0.745265971,references to law enforcement agencies and related terms.
0,1402,-0.022182823,abbreviations and short-forms of words.
0,695,-0.016291983," words related to expertise, experience, and professional or personal attributes."
1,784,0.13853628, numbers and statistics within the text.
1,1399,0.171145086," words related to various specialized terms or fields, such as technology, military, organizations, and roles."
1,1243,0.617501502," names and terms related to the Middle East, conflicts, and political groups."
1,1940,0.391117841,car-related terminology and phrases.
1,1755,0.594039921, words ending in 'us'.
1,1783,0.439647622," numbers, especially those related to age or quantity."
1,202,0.063301763," special characters, including accents and symbols."
1,1681,0.026211146, words and phrases related to specific parts of language or body parts.
1,994,0.109332632,words and phrases related to databases and relationships.
1,643,0.679127432,"words related to footwear, specifically shoes and shoe parts."
1,1024,0.751316376,words ending in 'iger'.
1,1831,0.468879632,words describing noteworthy or exceptional concepts.
1,1040,0.884292954," words related to falling, especially in the context of objects or events."
1,1032,0.194023015, technical terms and features related to various electronic devices.
1,1027,0.863212841,the word 'contribute' and related forms.
1,317,0.642392228,words related to harassment or uncomfortable situations.
1,1883,0.809087402," different forms of the word ""version"" and related terms like ""editions"" and ""copies."""
1,1954,-0.007784577, words related to repetition and addresses.
1,1919,0.313895241, abbreviations and acronyms.
1,1558,0.207075428,creative or artistic processes and related terminology.
2,1907,0.683897707,"sequences of double letters, particularly 'bb' and 'zz'."
2,1385,-0.006439354, words related to neutrality or balance.
2,615,-0.015074519, specific words or symbols in various contexts.
2,535,0.441641795,"names of people, particularly political figures or players in a game."
2,1092,0.631197452, words related to official and unofficial status.
2,1503,0.498386063,partially hidden or cut-off words and property-related terms.
2,1608,0.589034862, words related to making choices or decisions.
2,1152,0.295222043, words related to large structures or entities.
2,1657,0.415160834, words related to storage and equipment.
2,752,0.774684691, words and phrases related to optical elements and vision.
2,1989,-0.040701825,abbreviations or acronyms and related numeric values.
2,44,0.459398309, technical terms related to various fields of study.
2,296,0.135919488, words related to finding or locating something.
2,941,0.109542801, technical jargon and numbers related to product specifications.
2,192,0.224576494, numbers and related medical or health keywords.
2,444,0.202707247, words related to web addresses or online platforms.
2,1749,0.07862429, words or phrases indicating a measurement of time.
2,1747,0.610337718, words with a broadening or expansion aspect.
2,681,0.491016519, human names and actions directly related to them.
