layer,neuron,score,explanation
0,562,0.938552059," sentence-ending punctuation, specifically periods."
0,1698,0.91252322,"instances of the word ""down"" and occasionally related words with low activation values."
0,127,0.906939122,"the word ""atmosphere"" and its related contexts."
0,945,0.893769213," instances of the past and present forms of the verb ""to be"" (was, is)."
0,1746,0.893158827," the word ""on"" and its variations, as well as words closely associated with it."
0,1302,0.886087856, words related to distribution or dispersion.
0,1239,0.885094449, the word 'India' and related names or activities.
0,128,0.881747599,words ending with 'ery'.
0,1824,0.881372055," occurrences of the word ""video"" and related context."
0,1808,0.880946295,words related to teaching or instructors.
0,1866,0.876819169, words related to anticipation or expecting.
0,810,0.875428222, words related to the concept of adding or combining elements or parts.
0,282,0.866628002, references to bones or bone-related conditions.
0,1338,0.864667189,verbs related to possessing or retaining something.
0,1873,0.864074791, capital letter 'D' and related variations.
0,749,0.862401129,"instances of the word ""flexibility"" and related terms that indicate adaptability or choice."
0,20,0.862197415,words related to the concept of a home or dwelling.
0,1619,0.860513876,words with the suffix 'est'.
0,130,0.856541845,words related to complexity or intricate situations.
0,1222,0.851738741, the word 'extended' and its related contexts.
1,758,0.979874633,"the word ""witnessed"" indicating someone observing an event or action."
1,228,0.950522971,words related to rivalry or competition.
1,395,0.947141545,words and phrases related to extramarital affairs.
1,1163,0.946215251,words ending with 'less'.
1,1411,0.943008868, words ending in 'ization'.
1,1805,0.938147585, the three-letter ending 'ags'.
1,1796,0.938003164," the word ""according"" or its variations."
1,251,0.93604975,ampersands (&) and sometimes words connected or associated with them.
1,242,0.93535963, the word 'now'.
1,41,0.926516124,"instances of the word ""order"" and its variations."
1,640,0.924239466,"words related to professions or experts in various fields, especially those ending in '-ologist'."
1,484,0.92340238," occurrences of the word ""snap""."
1,1853,0.917250993, words related to invitations and being invited.
1,1106,0.916553109,"words and phrases related to conflicts, disruptions, and clashes."
1,641,0.906918499,words related to taking advantage of vulnerabilities or weaknesses.
1,339,0.904496156,"the word ""mainstream""."
1,1259,0.902267815," two-letter combinations, mostly focusing on ""dy""."
1,445,0.90177946,"words related to hierarchical positions, specifically ""general."""
1,999,0.899879154, words related to strength and its degree.
1,572,0.897042207, words related to the concept of restoration or repair.
2,360,0.961408441,"words related to foundations or bases, often in the context of actions or solutions."
2,618,0.955257151, words related to isolation or being alone.
2,629,0.942118786,"words or phrases related to the midpoint of a situation, process, or event."
2,1110,0.936760713,"the word ""artificial""."
2,405,0.934051225,words and phrases related to removal or elimination.
2,690,0.918340591, words describing importance or prominence.
2,189,0.908886224,"words containing ""aper""."
2,1416,0.907908377,words ending with 'ight'.
2,1738,0.906845924,words related to central or core elements.
2,1372,0.905160923,"words related to confirmation, revelation, or indication."
2,1768,0.902726013,the word 'totally' in sentences.
2,172,0.899665072," words related to the term ""beast"" or containing the word ""beast""."
2,1524,0.895642455, words related to capturing or grabbing something.
2,1972,0.89178722,"mentions of the word ""modest."""
2,570,0.891095135,instances of approaching actions or interactions.
2,331,0.885849061,words and phrases related to ancestry and cultural heritage.
2,1258,0.883829428, adjectives describing small size.
2,889,0.880052959, words related to purpose or intention.
2,1159,0.878752339, words ending in 'omp'.
2,248,0.876997577, words related to removal and deletion processes.
3,1287,0.939400793, words related to excellence and exceptional performance.
3,634,0.90632848," words related to coverage, as well as types and instances of coverage."
3,454,0.899293394,verbs related to improving or modifying something in a precise way.
3,774,0.894765138," instances of the word ""use""."
3,938,0.893806647, words related to pulling actions.
3,217,0.893697396, contractions using 's'.
3,1534,0.888562061, adverbs that describe a comparison or a degree.
3,158,0.885108671, words related to logical reasoning and argumentation.
3,1733,0.883464681,mentions of Detroit and medical terminology related to treatment.
3,585,0.882921606,words related to emerging or coming into prominence.
3,1176,0.881541992, words related to contrasting or opposing elements.
3,1210,0.879360603," the word ""instance"" and similar words related to specific examples."
3,1866,0.877289983, words related to adventure and action.
3,100,0.87349667, words related to substitution or replacement.
3,904,0.872586676,words and phrases related to utility and usefulness.
3,1639,0.866995976,words related to cubes or cubical objects.
3,17,0.866522518, words related to arriving or incoming.
3,1378,0.854577739," words or phrases related to America, newness, and positive qualities."
3,1623,0.853142097,words or word components with 'omb' in them.
3,1659,0.850899398," mentions of different phases, often related to scientific or technical content."
4,552,0.95160136,words related to surrounding or enclosing aspects.
4,1514,0.942104997, words related to dramatic or intense situations.
4,606,0.906674352,words related to debts and financial obligations.
4,626,0.905773988, words related to changes in size or growth.
4,313,0.896036213,words related to witchcraft and the occult.
4,284,0.895495308," the word ""latter"" and related context."
4,1670,0.89520534,words related to borders or boundaries.
4,687,0.894406642,"words and phrases related to events, particularly Halloween."
4,1700,0.894323588, words and phrases related to nervousness or hesitance.
4,698,0.89051806," words and phrases related to inserting or connecting something, especially using the word 'plug'."
